year_month,fuel_cost,fuel_price_index
2020-01,12151.02,1.007
2020-02,13198.76,1.055
2020-03,12867.87,1.047
2020-04,10403.96,1.059
2020-05,9687.15,1.039
2020-06,11222.3,1.128
2020-07,11244.52,1.087
2020-08,10437.25,1.07
2020-09,9763.31,1.011
2020-10,10690.6,1.037
2020-11,10260.61,0.994
2020-12,9601.31,0.932
2021-01,9996.81,0.897
2021-02,9288.61,0.891
2021-03,9812.38,0.878
2021-04,9798.73,0.914
2021-05,9497.57,0.917
2021-06,10470.94,0.983
2021-07,10524.19,0.989
2021-08,11504.08,1.024
2021-09,11757.32,1.11
2021-10,11892.51,1.065
2021-11,12240.77,1.051
2021-12,12883.97,1.109
2022-01,12884.05,1.024
2022-02,12691.51,1.072
2022-03,12742.36,1.064
2022-04,11408.7,1.002
2022-05,10059.18,0.966
2022-06,9179.52,0.874
2022-07,10289.11,0.93
2022-08,9982.06,0.913
2022-09,10391.73,0.866
2022-10,11363.67,0.971
2022-11,11283.84,0.899
2022-12,11173.1,0.915
2023-01,11803.87,0.946
2023-02,12823.74,1.035
2023-03,13053.56,1.074
2023-04,13515.43,1.1
2023-05,13019.57,1.088
2023-06,12352.25,1.074
2023-07,13726.94,1.112
2023-08,11267.76,1.037
2023-09,12035.69,0.998
2023-10,12604.87,1.042
2023-11,12523.88,0.971
2023-12,12428.98,0.95
2024-01,12738.1,0.932
2024-02,11651.29,0.884
2024-03,11110.76,0.886
2024-04,10959.24,0.933
2024-05,11431.92,0.917
2024-06,12234.37,0.976
2024-07,12738.43,0.997
2024-08,13548.92,0.998
2024-09,14120.4,1.093
2024-10,13178.97,1.048
2024-11,13639.98,1.105
2024-12,15409.05,1.1
2025-01,15454.08,1.125
2025-02,13490.84,1.031
2025-03,13173.79,1.018
2025-04,12297.63,0.997
2025-05,12269.67,0.971
2025-06,11692.05,0.962
2025-07,11007.2,0.923
2025-08,10956.46,0.902
2025-09,11710.17,0.932
2025-10,12992.5,0.976
2025-11,12121.44,0.895
2025-12,14478.89,0.966
2026-01,14316.52,1.023
2026-02,15021.83,1.037
2026-03,14187.41,1.107
2026-04,14182.66,1.077
2026-05,13027.79,1.068
2026-06,13398.4,1.125
2026-07,13038.64,1.003
2026-08,13315.4,1.05
2026-09,15114.1,1.105
2026-10,13446.75,1.001
2026-11,14135.06,0.977
2026-12,12678.59,0.907
