year_month,insurance_cost
2020-01,6145.06
2020-02,6143.26
2020-03,6252.23
2020-04,6355.27
2020-05,6254.18
2020-06,6321.5
2020-07,6371.8
2020-08,6408.78
2020-09,6236.97
2020-10,6418.26
2020-11,6377.87
2020-12,6325.83
2021-01,6334.68
2021-02,6406.73
2021-03,6332.77
2021-04,6294.93
2021-05,6495.65
2021-06,6598.94
2021-07,6495.06
2021-08,6630.81
2021-09,6512.0
2021-10,6458.56
2021-11,6413.33
2021-12,6515.57
2022-01,6806.39
2022-02,6622.59
2022-03,6450.03
2022-04,6685.85
2022-05,6657.57
2022-06,6665.02
2022-07,6663.13
2022-08,6656.57
2022-09,6731.49
2022-10,6576.24
2022-11,6674.46
2022-12,6790.47
2023-01,6939.71
2023-02,6920.88
2023-03,7106.25
2023-04,7047.14
2023-05,6696.7
2023-06,7001.14
2023-07,7073.5
2023-08,7001.14
2023-09,6769.4
2023-10,6966.24
2023-11,6929.75
2023-12,7090.3
2024-01,7202.26
2024-02,7159.33
2024-03,6975.68
2024-04,7212.64
2024-05,7136.81
2024-06,7272.82
2024-07,7135.83
2024-08,7213.2
2024-09,7199.33
2024-10,7197.78
2024-11,7423.15
2024-12,7366.98
2025-01,7328.28
2025-02,7129.07
2025-03,7229.61
2025-04,7332.75
2025-05,7418.51
2025-06,7160.54
2025-07,7483.12
2025-08,7266.23
2025-09,7272.71
2025-10,7561.8
2025-11,7381.13
2025-12,7511.81
2026-01,7608.41
2026-02,7578.84
2026-03,7392.15
2026-04,7470.08
2026-05,7484.53
2026-06,7622.21
2026-07,7633.57
2026-08,7744.82
2026-09,7691.13
2026-10,7763.36
2026-11,7643.21
2026-12,7646.22
