year_month,maintenance_cost,maintenance_event_count
2020-01,14815.71,4
2020-02,15616.59,2
2020-03,14575.71,4
2020-04,20507.6,4
2020-05,14071.7,4
2020-06,14077.02,2
2020-07,14725.0,4
2020-08,14736.44,4
2020-09,12961.99,3
2020-10,14726.36,2
2020-11,19221.98,3
2020-12,14944.6,4
2021-01,21184.88,4
2021-02,18857.27,5
2021-03,14143.08,4
2021-04,13686.52,4
2021-05,14558.9,4
2021-06,19149.8,4
2021-07,14844.23,4
2021-08,14931.22,2
2021-09,14410.4,3
2021-10,15006.87,4
2021-11,14104.83,4
2021-12,14454.31,3
2022-01,13989.55,4
2022-02,14637.38,2
2022-03,19455.46,3
2022-04,14813.2,2
2022-05,15396.26,4
2022-06,14717.9,2
2022-07,13243.4,2
2022-08,15546.12,4
2022-09,15023.73,2
2022-10,15422.79,4
2022-11,14625.83,3
2022-12,15416.63,2
2023-01,20629.64,4
2023-02,14268.01,3
2023-03,15801.72,4
2023-04,14737.22,3
2023-05,18560.16,5
2023-06,15222.19,4
2023-07,16545.44,3
2023-08,20445.67,5
2023-09,14794.98,4
2023-10,22004.49,4
2023-11,19201.61,4
2023-12,15195.84,2
2024-01,15788.53,4
2024-02,14920.5,2
2024-03,15749.64,3
2024-04,15908.36,3
2024-05,14919.45,2
2024-06,15151.2,3
2024-07,15927.24,4
2024-08,15933.18,2
2024-09,15859.36,2
2024-10,14771.68,4
2024-11,15310.8,4
2024-12,15472.03,3
2025-01,16264.65,2
2025-02,15584.86,4
2025-03,15300.49,4
2025-04,15197.37,3
2025-05,21417.9,4
2025-06,16516.5,3
2025-07,14855.34,2
2025-08,15694.94,3
2025-09,15745.4,2
2025-10,16824.34,2
2025-11,16108.22,2
2025-12,16754.32,4
2026-01,15832.0,4
2026-02,15208.39,4
2026-03,14999.19,3
2026-04,15334.22,3
2026-05,16011.27,3
2026-06,15632.06,3
2026-07,15825.62,2
2026-08,16969.54,2
2026-09,14878.95,4
2026-10,15233.98,2
2026-11,17413.3,2
2026-12,16289.31,4
