year_month,boardings,service_hours,revenue,active_vehicles,avg_passengers_per_vehicle,avg_fare_per_boarding
2020-01,8057.0,1208.0,33473.86,42.0,191.83,4.24
2020-02,7936.0,1282.0,32281.44,42.0,188.95,4.03
2020-03,8705.0,1247.0,36927.51,41.0,212.32,4.1
2020-04,4083.0,1092.0,17420.21,38.0,107.45,4.19
2020-05,2930.0,1109.0,11378.24,37.0,79.19,4.17
2020-06,2961.0,1104.0,12310.71,36.0,82.25,4.12
2020-07,3265.0,1109.0,13579.03,36.0,90.69,4.15
2020-08,2966.0,1076.0,12191.48,38.0,78.05,4.06
2020-09,3024.0,1064.0,13189.79,40.0,75.6,4.16
2020-10,2794.0,1080.0,10929.82,38.0,73.53,4.17
2020-11,3560.0,1022.0,14756.79,38.0,93.68,4.22
2020-12,3740.0,1038.0,15872.27,38.0,98.42,4.17
2021-01,5346.0,1114.0,21693.38,41.0,130.39,4.26
2021-02,5951.0,1133.0,26784.5,40.0,148.78,4.31
2021-03,5815.0,1192.0,24986.85,39.0,149.1,4.25
2021-04,5283.0,1140.0,23185.51,41.0,128.85,4.28
2021-05,5503.0,1158.0,23041.24,40.0,137.57,4.26
2021-06,4747.0,1222.0,20764.53,42.0,113.02,4.27
2021-07,5096.0,1152.0,22194.45,40.0,127.4,4.22
2021-08,4558.0,1193.0,19828.12,38.0,119.95,4.32
2021-09,4440.0,1126.0,19181.54,38.0,116.84,4.29
2021-10,4359.0,1159.0,19686.7,42.0,103.79,4.48
2021-11,5262.0,1135.0,22809.42,42.0,125.29,4.45
2021-12,5101.0,1166.0,22141.93,40.0,127.52,4.36
2022-01,6423.0,1263.0,27364.65,41.0,156.66,4.28
2022-02,6738.0,1167.0,29034.03,43.0,156.7,4.26
2022-03,7164.0,1256.0,32909.81,40.0,179.1,4.46
2022-04,7022.0,1249.0,29847.65,40.0,175.55,4.39
2022-05,6780.0,1213.0,29855.21,42.0,161.43,4.42
2022-06,6425.0,1175.0,28519.84,41.0,156.71,4.25
2022-07,6661.0,1231.0,29110.47,41.0,162.46,4.47
2022-08,5506.0,1205.0,23897.3,41.0,134.29,4.45
2022-09,5381.0,1235.0,23441.14,42.0,128.12,4.33
2022-10,5390.0,1230.0,24261.5,43.0,125.35,4.39
2022-11,6182.0,1300.0,27581.17,42.0,147.19,4.46
2022-12,6757.0,1234.0,31267.45,42.0,160.88,4.45
2023-01,7759.0,1250.0,35335.46,40.0,193.98,4.44
2023-02,7847.0,1304.0,35881.47,43.0,182.49,4.46
2023-03,7990.0,1309.0,36227.78,42.0,190.24,4.46
2023-04,8406.0,1355.0,40468.44,41.0,205.02,4.5
2023-05,8131.0,1331.0,37334.01,42.0,193.6,4.62
2023-06,7632.0,1308.0,30845.08,42.0,181.71,4.3
2023-07,6778.0,1348.0,31968.94,44.0,154.05,4.5
2023-08,6780.0,1239.0,30358.54,41.0,165.37,4.54
2023-09,6634.0,1261.0,30348.94,43.0,154.28,4.56
2023-10,6806.0,1253.0,31971.7,42.0,162.05,4.52
2023-11,7380.0,1281.0,31051.65,43.0,171.63,4.42
2023-12,7621.0,1250.0,33740.25,44.0,173.2,4.6
2024-01,9142.0,1372.0,41077.37,45.0,203.16,4.72
2024-02,9317.0,1344.0,40654.79,46.0,202.54,4.47
2024-03,9551.0,1298.0,45191.45,44.0,217.07,4.67
2024-04,9556.0,1316.0,44454.74,43.0,222.23,4.58
2024-05,8473.0,1367.0,39469.7,44.0,192.57,4.62
2024-06,8382.0,1383.0,36521.69,45.0,186.27,4.55
2024-07,7837.0,1425.0,33624.75,44.0,178.11,4.61
2024-08,7421.0,1458.0,35307.23,43.0,172.58,4.75
2024-09,7428.0,1359.0,34490.72,44.0,168.82,4.71
2024-10,8201.0,1306.0,39990.45,45.0,182.24,4.81
2024-11,7769.0,1267.0,37838.52,47.0,165.3,4.77
2024-12,8945.0,1371.0,42485.32,47.0,190.32,4.73
2025-01,8553.0,1337.0,42340.53,43.0,198.91,4.84
2025-02,9425.0,1359.0,45076.6,44.0,214.2,4.75
2025-03,9759.0,1355.0,47488.96,43.0,226.95,4.79
2025-04,9789.0,1374.0,45131.5,44.0,222.48,4.71
2025-05,9471.0,1419.0,44744.84,45.0,210.47,4.75
2025-06,8996.0,1378.0,42440.31,46.0,195.57,4.69
2025-07,8091.0,1361.0,40124.41,44.0,183.89,4.84
2025-08,7684.0,1323.0,35536.34,44.0,174.64,4.68
2025-09,8022.0,1297.0,39433.53,42.0,191.0,4.84
2025-10,7813.0,1348.0,36970.79,45.0,173.62,4.77
2025-11,7837.0,1372.0,38187.79,44.0,178.11,4.89
2025-12,8435.0,1454.0,42100.71,44.0,191.7,4.87
2026-01,9059.0,1397.0,42331.21,44.0,205.89,4.97
2026-02,9964.0,1438.0,46828.88,45.0,221.42,4.89
2026-03,10004.0,1382.0,45023.67,43.0,232.65,4.71
2026-04,10073.0,1355.0,45340.17,43.0,234.26,4.84
2026-05,9311.0,1361.0,43509.75,48.0,193.98,4.77
2026-06,8999.0,1365.0,44442.4,44.0,204.52,4.83
2026-07,8644.0,1475.0,42850.62,44.0,196.45,5.0
2026-08,7940.0,1354.0,39456.34,48.0,165.42,4.94
2026-09,8080.0,1420.0,40385.09,49.0,164.9,4.84
2026-10,7850.0,1354.0,39425.7,44.0,178.41,4.83
2026-11,8368.0,1434.0,41085.17,45.0,185.96,4.92
2026-12,8923.0,1421.0,44848.2,46.0,193.98,4.83
